Team,O-down_3rd_Att,O-down_3rd_Md,O-down_4th_Att,O-down_4th_Md,O-down_Rec_1st,O-down_Rec_1st%,O-down_Rush_1st,O-down_Rush_1st%,O-down_Scrm_Plys,Year
Seahawks,214,76,17,6,159,49.1,81,21,964,2010
Steelers,218,94,5,2,175,58.7,106,22.5,993,2010
Texans,192,79,19,9,222,60.8,118,27.9,1029,2010
Titans,204,71,14,8,155,56.8,73,18,907,2010
Vikings,205,71,17,8,159,52.1,104,23.6,982,2010
Bears,217,81,18,7,170,50,71,19,971,2009
Bengals,229,93,14,10,158,55.2,109,21.6,1011,2009
Bills,198,51,15,7,126,49.2,81,19.1,911,2009
Broncos,215,78,18,7,186,54.6,95,21.6,1032,2009
Browns,233,76,15,10,118,53.9,102,20.5,971,2009
Buccaneers,218,71,22,9,148,53,80,19.8,961,2009
Cardinals,190,69,9,5,215,54.8,77,21.1,985,2009
Chargers,187,83,10,5,222,65.7,80,18.7,972,2009
Chiefs,227,62,29,14,139,47,91,20.8,1019,2009
Colts,193,95,11,5,241,60,69,18.8,980,2009
Cowboys,202,82,11,4,203,58.5,110,25.2,1020,2009
Dolphins,245,120,18,13,188,56.8,129,25.3,1088,2009
Eagles,207,75,14,6,182,54.3,87,22.7,975,2009
Falcons,216,91,23,16,192,57.8,105,23.3,1048,2009
Giants,210,90,15,9,194,57.4,103,23.2,1017,2009
Jaguars,226,102,21,12,170,54,114,25.5,1010,2009
Jets,232,86,20,15,131,62.4,132,21.8,1030,2009
Lions,234,84,26,7,168,53.2,82,20,1037,2009
Niners,218,65,21,12,137,43.9,77,20.8,939,2009
Packers,219,103,9,3,201,56.3,102,23.3,1042,2009
Panthers,220,82,20,9,152,57.6,123,23.4,1023,2009
Patriots,206,90,22,11,222,56.9,114,24.5,1076,2009
Raiders,213,63,21,10,131,51.4,81,19.8,944,2009
Rams,226,73,28,10,159,51,79,19.2,998,2009
Ravens,214,89,13,6,187,58.3,115,24.6,1014,2009
Redskins,216,86,22,7,191,56.2,72,18.4,970,2009
Saints,197,88,15,6,215,56.9,115,24.6,1032,2009
